Index,Context,Judgement
10,"There appears prima facie some merit in the submission made by learned counsel for the
petitioners that the respondents cannot replace contractual arrangement of a similar arrangement.
Therefore, the impugned Advertisement Notice to the extent of filling up of posts of Assistant
Professors in the subjects of Islamic Studies, Math, English and Architecture appears to not in
accordance with law. Issue notice to the respondents subject to taking of requisite steps by the petitioners within two
weeks.",Petitioner
11,"This appeal arises from a judgment of the National Company Law Appellate
Tribunal' dated 30 July 2020 in Company Appeal (AT) Insolvency No 646 of
20202. We accordingly allow the appeal and set aside the impugned judgment and
order of the NCLAT dated 30 July 2020. Similarly, the order of NCLT dated 7
February 2020 is set aside. MA No 223/2020 in CP (IB) 970/MB/2019 is restored
to the file of the NCLT for a decision afresh. The NCLT, upon remand, is
requested to expedite the disposal of the MA and to complete the process within
a period of one month from the date of receipt of a certified copy of this order on
its record.",Petitioner
12,"The writ
petition thus suffers from unexplained delay and laches. Notwithstanding the aforesaid, the claim of
the petitioners has been examined and we have not found any legal right in their favour to direct the
Company to grant them the reliefs as prayed for. 05] The decisions relied upon by the learned
counsel for the petitioners do not support the claim as made in the writ petition. Since the Company
was under the process of financial reconstruction in the light of the provisions of the Act of 1985, the
ratio of the aforesaid decisions cannot be applied to the case in hand. The selection of the cut of date
of 01.04.2018 for granting pay revision is not under challenge and hence nothing further is required
to be said in that regard. 06] Hence for aforesaid reasons, we do not find any case is made out to
grant relief to the petitioners. The writ petition stands dismissed. The Rule stands discharged. No
costs.",Respondent
13,"As per settled position of law laid down by this Court in a catena of
decisions, an award can be set aside only if the award is against the
public policy of India. The award can be set aside under Sections 34/37
of the Arbitration Act, if the award is found to be contrary to, (a)
fundamental policy of Indian Law; or (b) the interest of India; or (c)
justice or morality; or (d) if it is patently illegal. None of the aforesaid
exceptions shall be applicable to the facts of the case on hand. The High
Court has entered into the merits of the claim and has decided the
appeal under Section 37 of the Arbitration Act as if the High Court was
deciding the appeal against the judgment and decree passed by the
learned trial Court. Thus, the High Court has exercised the jurisdiction
not vested in it under Section 37 of the Arbitration Act. The impugned
judgment and order passed by the High Court is hence not sustainable.
In view of the above and for the reasons stated above, the present
appeal succeeds. The impugned judgment and order passed by the
High Court is hereby quashed and set aside. The award passed by the
arbitrator and the order passed by the Additional District Judge under
Section 34 of the Arbitration Act overruling the objections are hereby
restored.",Petitioner
14,"With the aforesaid directions, the present application accordingly stands disposed off. The
applicant/petitioner is directed to get this order served upon the respondent through electronic
modes i.e. email and Whatsapp within 7 days from today and file its affidavit of compliance on
record, alongwith the proof of service, on the aforesaid dedicated email ID of the court within 10
days from today.",Respondent
15,"In our view this is neither the correct approach nor borne out of the
record. Evidence was led. Even earlier, the material in respect of other
charges emanates from the record of the bank which shows the conduct
of the respondent which are apparent from the manner of framing of the
charges themselves and the material led in support thereof. Thus, even
the aspect of the other charges could not have been brushed aside in the
manner it purports to. On the matter being remitted back, two witnesses
deposed as to these aspects, being MW-3 and MW-4. The respondent
was a clerk-cum-cashier. It is a post of confidence. The respondent
breached that confidence. In fact, the respondent breached the trust of a
widowed sister-in-law as well as of the bank, making it hardly a case for
interference either on law or on moral grounds. The punishment imposed
on the respondent could also hardly be said to be disproportionate. The
conduct established of the respondent did not entitle him to continue in
service.
We are, thus, of the view that the impugned judgment dated
31.5.2018 of the High Court is liable to be set aside and the challenge to
the award of the Industrial Tribunal dated 21.2.2013 is repelled.",Petitioner
16,"For the reasons aforestated the appellants have miserably failed to establish that on the date the
decrees were passed, the appellants were the co-owners of the property at 38, Koregaon Park, Pune.
They further failed to establish that they have any independent source of income and they have
contributed for purchase of the property at 38, Koregaon Park, Pune, from their own independent
income. Further the appellants failed to discharge the burden of proving that the appellants have a
share in the property. The other connected issues are only consequential to this issue and it may not
be necessary for us to deal with them in view of our decision above. Accordingly, the appeal fails and
is dismissed with costs.",Respondent
17,"The High Court did not even consider the import of Section 34 IPC as against A3
and A4. We find that the approach of the trial court cannot be sustained to that
extent in the light of our discussion. Thus, we are inclined to set aside the
judgment of the High Court confirming that of the trial court as against the
Accused-Appellants namely A3 and A4 alone are concerned.
In the result Crl. A. No.1584 of 2021 and Crl. A. No.1585 of 2021 are allowed.
The Crl. A. No.1586 of 2021 stands dismissed.",Ambiguity
18,"The learned counsel appearing for the respondent bank submits that Ext.P8 request is for
issuance of bank guarantee etc and has nothing to do with the clearance of the liability in
instalments. It is submitted that the bank has no objection in considering Ext.P8 and issuing a reply
to the petitioners.
Having heard the learned counsel appearing for the W.P. (C) Nos. 41626 & 24332 of 2022 ..5..
petitioners and the learned counsel appearing for the respondent bank and despite being convinced
that these Writ Petitions are not maintainable, I am of the opinion that these Writ Petitions can be
disposed of directing the bank to consider Ext.P8 request within a period of two weeks from today.
Till such time as Ext.P8 request is considered and a decision thereon is communicated to the
petitioners, further proceedings under the SARFAESI Act shall be kept in abeyance.",Ambiguity
19,"For the aforesaid reasons, the present appeal fails and the impugned
judgment is upheld. We endorse the view taken by the learned Single
Judge that after amendment of the Reservation Act, the respondent No. 1 –
University had to follow the reservation norms of 2% for SC candidates,
31% for ST candidates and 17% for OBC candidates which is in
consonance with the second proviso to Section 3 of the Reservation Act
inserted by virtue of the Amendment Act.",Respondent
20,"On our finding that there was no monitoring whatsoever of the purchase of shares made on behalf of
the Caparo Group of Companies by the Punjab National Bank and on our further finding that
though the Reserve Bank of India was not actuated by malice and was not guilty of non-application
of mind, the reliance placed by the Reserve Bank of India on the Punjab National Bank was
misplaced in the event, the Punjab National Bank having totally abandoned its duties as authorised
dealer, it follows that the permission granted by the Reserve Bank must be reconsidered by the
Reserve Bank in the light of the failure of the Punjab National Bank to discharge its duties.
Therefore, while allowing the appeals of the Union of India, the Reserve Bank of India and the Life
Insurance Corporation of India and dismissing the appeal of Escorts Limited and setting aside the
judgment of the High Court, we direct the Reserve Bank of India to make a full and detailed enquiry
into the purchase of shares of Escorts Limited by the Caparo Group of Companies and consider
afresh the question whether permission ought or ought not to have been granted. 
We also direct the Reserve Bank of India to enquire into the conduct of Punjab National Bank and
take such action as may be necessary including cancellation of the authorisation granted under sec.
6 of the Foreign Exchange Regulation Act. In regard to costs, the Union of India, the Reserve Bank
of India and the Life Insurance Corporation of India are certainly entitled to their costs. We do not
see any reason why the company Escorts Limited should be mulcted with costs. The litigation was
launched by Mr. Nanda and he should be personally made liable for the costs. We also think that the
litigation has been unnecessarily complicated by the failure of Mr. Swraj Paul and Raja Ram Bhasin
& Co. to cooperate by appearing before the court. We think that they should also be liable for a
portion of the costs. So also the Punjab National Bank. The appeals filed by the Union of India, the
Life Insurance Corporation of India and the Reserve Bank of India are allowed with costs payable as
follows : Three-fifths of the taxed costs in each case will be payable by Har Prasad Nanda, one-fifth
by Swraj Paul and one-fifth by the Punjab National Bank. The cross appeal filed by Escorts Limited
and Nanda is dismissed with the costs of the Union of India, the RESERVE Bank of India and the
Life Insurance Corporation of India. The Union of India, the Reserve Bank of India and the Life
Insurance Corporation of India are entitled to their costs in the High Court, three-fifths payable by
Nanda, one-fifth by Swraj Paul and one-fifth by Punjab National Bank. In modification of our order
dt. 4.4.85 in C.M.P No. 12832/85, we direct Shri H.P. Nanda and Rajan Nanda to continue as
Managing Directors until the Board of Directors takes a decision in the matter.",Respondent
21,"The instant review petitions under Section 114 read with Section 151 of the Code of Civil
Procedure, 1908 have been filed on behalf of the partners of the respondent-firm seeking review of
the order dated 2ndSeptember, 2019 and consequently praying for an order cancelling the Signature
Not Verified Digitally Signed By:GAURAV SHARMA Signing Date:18.01.2023 18:21:48 NEUTRAL
CITATION NO: 2023/DHC/000376 appointment of Sole Arbitrator vide Order dated 2nd
September, 2019 in the captioned matter. Taking into consideration the facts and circumstances as well as the discussions that have been
presented so far, this Court finds that the respondent/applicant in the present case failed to
establish adequate reasons for reviewing the order that was passed on 2nd September, 2019. Resultantly, all the applications for review are dismissed being devoid of any merit.",Petitioner
22,"Periyaiya Servai and Muthu Servai, were the sons of Marimuthu Servai. Periyaiya Servai had three sons, being
the first and second defendants and Marimuthu, who is no longer alive and whose wife Poomayil has also died. The
plaintiff, first and second defendants and late Marimuthu have onefourth share each in the joint family properties.
That Periyaiya Servai through his first wife, Veeramakali Ammal ( since deceased) had four daughters and a son,
being the first defendant, namely, P.R. Ramasamy. Through his second wife, Kaliammal, Periyaiya Servai had two
sons, being second defendant, namely, P.R. Kasilingam and Marimuthu. Second defendant's son, K. Arumuga
Velaiya is the plaintiff.

According to the plaintiff, Periyaiya Servai had executed a registered will dated 26th January, 1994, in favour of
the plaintiff in relation to his share of the properties of the joint family. Thus, the joint family properties had to be
divided into four shares of which the plaintiff was entitled to one share, bequeathed in his favour by his grandfather,
Periyaiya Servai under the will. Further, Poomayil, on the death of her husband Marimuthu had bequeathed his share
in the property to the first defendant. Hence the first defendant has become entitled to half share in the joint family
property and the remaining half has to be equally divided between the second defendant and the plaintiff. That the
first defendant sent a legal notice objecting to plaintiff's share in the suit schedule properties, which are joint family
properties. Therefore, the plaintiff has been constrained to file a suit for partition and separate possession.

The nanjai, punjai and accessories viz Thitthuthidal, cattle, chickens, vessels and all other household articles are
to be divided into three equal shares.
As the Panchayatdars unanimously decide that the three acres of land out of the total common Nanjai lands are to
be left to the care of Ramasamy, the eldest Son, the said three acres of Nanjai Lands are to be accordingly given
away to Ramasamy.",Respondent
23,"In view of the above and for the reasons stated above, the
present Appeal Succeeds. The judgment and order passed
by the Industrial Court in Revision Application (ULP) No.13
of 2002 and the impugned judgment and order passed by
the High Court in Writ Petition No.8401 of 2003 are hereby
quashed and set aside and the judgment and Award
passed by the Labour Court in Complaint (ULP) No.96 of
1993 is hereby ordered to be restored. Consequently, the
order of dismissal passed by the disciplinary authority
dismissing the respondent – workman from service is
hereby upheld. The present appeal is allowed to the
aforesaid extent. There shall be no order as to costs.",Petitioner
24,"As many as 18 crimes have been registered as against the petitioner and others. It is submitted that in respect of other crimes, police filed 1 (2018) 11 SCC 46 application for custody and the court below granted custody of the petitioner to the investigating agency. It is submitted that investigation is at nascent stage and certain shell companies have to be identified by the investigating agency. In view of the same and having regard to the gravity of the offence and since custody of the petitioner is also granted by the court below to the investigating agency, in respect of other crimes, this Court is not inclined to grant bail to the petitioner at this stage.",Respondent
25,"The High Court has lost sight of the aforesaid material    aspects of the case and has, by a very cryptic and casual order, de   hors coherent   reasoning, granted   bail   to   the accused.   We   find   that   the   High   Court   was   not   right   in allowing   the   application   for   bail   filed   by   the   respondent-accused. Hence the impugned order dated 7th May, 2020 is set aside. The appeal is allowed. The respondent accused is on bail. His bail bond stands cancelled   and   he   is   directed   to   surrender   before   the concerned jail authorities within a period of two weeks from today.",Petitioner
26,"Considering the above facts, the applicants, named above, are directed to be released on bail, on furnishing bail bond of Rs.10,000/- (Rupees Ten Thousand Only) each with two sureties of the like amount each to the satisfaction of the learned C.J.M., Lohardaga in connection with Lohardaga P.S. Case No.56 of 2022, subject to condition that the applicants will submit self-attested photocopies of their Aadhaar Cards and also submit their mobile numbers before the learned court below which they will always keep active and will not change it during pendency of this case without prior permission of the court.",Petitioner
27,"Hence this Court does not find any error in the order of eviction passed by the appellate Court directing the petitioner to vacate the house within a period of 7 days from the date of the order. When the parents, who are owners of the house, withdraw permission to reside in the house, in that case, the petitioner is bound to obey the order of parents, and respondent No.4-father cannot be asked to file traditional suit of eviction against his own son. However, considering the submission of learned counsel for respondent No.4 that he is getting pension, part of the order whereby maintenance of Rs.5,000/- has been awarded, is hereby set aside. With the aforesaid observation, the Writ Petition is disposed of.",Respondent
28,"The validity of the OBC reservation in the AIQ seats in NEET-PG and NEET-UG is upheld for reasons to follow. In the meantime, there is an urgent need to commence the process of Counselling. We are hence issuing the following operative directions at this stage : (i) We accept the recommendation of the Pandey Committee that the criteria which have been stipulated in OM 2019 be used for 2021-2022 in order to ensure that the admission process is not dislocated; (ii) Counselling on the basis of NEET-PG 2021 and NEET- UG 2021 shall be conducted by giving effect to the reservation as provided by the 5 notice dated 29 July 2021, including the 27 per cent reservation for the OBC category and 10 per cent reservation for EWS category in the AIQ seats; (iii) The criteria for the determination of the EWS notified by OM 2019 shall be used for identifying the EWS category for candidates who appeared for the NEET-PG 2021 and NEET-UG 2021examinations; (iv) The validity of the criteria determined by the Pandey Committee for identification of EWS would prospectively for the future be subject to the final result of the petitions; and (v) The petitions shall be listed for final hearing on the validity of the EWS criteria as recommended by the Pandey Committee in the third week of March 2022. Reasons shall follow.",Ambiguity
29,"It is to further observe that the plaintiff has also claimed pendent elite and future simple interest @ 18% per annum on the said amount till its realization, however the agreed rate of interest was @12.5% p.a. at monthly rest along with 2% penal interest and therefore, plaintiff is entitled to the interest @14.5 % p.a. at Civil Suit No:? 1026/18 (Vivek Kumar Agarwal) CJ?03/KKD/Delhi Punjab National Bank Vs. M/s Vidya Darshan Graphics monthly rest to be calculated from the date of institution of suit till the realization of the amount.  In view of aforesaid discussion, suit of the plaintiff is hereby partly decreed with costs to the effect that defendant no.2, being proprietor of defendant no.1, is directed to pay the amount of Rs.2,22,551/- along with interest @ 14.5% per annum at monthly rest to be calculated on the said amount from the date of institution of suit till the date of realization of the said amount, within two months from date of decree. In case of non-compliance on behalf of the defendant, the plaintiff is at liberty to approach the court for satisfaction of decree.",Petitioner
30,"We therefore allow this appeal, set aside the impugned order of the High Court and quash the criminal proceedings of Criminal Complaint No. 1029 of 2015. We clarify that this will not come in the way of instituting appropriate proceedings in future in case the Civil Court comes to the conclusion that the disputed sale deed dated 29.12.2010 is forged. We refrain ourselves from expressing any opinion as regards the genuineness or otherwise of the sale deed in question as this question is wide open before the Civil Court. The Civil Court shall decide the civil suit pending between the parties on its own merits and on the basis of the evidence that may be led by both the sides. It shall be open to the Civil Court to take the opinion of the hand writing expert as regards the signature of the complainant on the disputed sale deed. We clarify that we have passed the aforesaid order in the facts and circumstances of the present case and the same shall not be cited as a precedent.",Petitioner
31,"We, therefore, find no reason to interfere with the judgments and orders passed by the High Court in the Civil Appeals. However, in the facts and circumstances of the case, we are inclined to modify the decree. During the pendency of the proceedings before this Court, the appellants have deposited an amount of Rs.7 lakh and Rs. 2 lakh pursuant to the orders of this Court dated 20th February, 2009 passed in Criminal Appeal No. 1978 of 2013 (arising out of Special Leave Petition (Criminal) No.1456 of 2009 and connected matter and dated 13th August, 2012 passed in Civil Appeal No.10501 of 2013 (arising out of Special Leave Petition (Civil) No.23036 of 2012). The said amount has been directed to be invested in a Fixed Deposit Receipts from time to time. We are, therefore, of the view that, in the facts and circumstances of the present case, the decree needs to be modified restricting it to the amount already deposited by the appellants in both the proceedings with interest accrued thereon.",Ambiguity
32,"In view of the above and for the reasons stated above, the High Court has committed an error in permitting respondent delinquent officer to be represented in the departmental   enquiry   through   ex¬-employee   of   the Bank. The view taken by the learned Single Judge confirmed by the Division Bench is unsustainable. Accordingly, present   appeal   is   allowed   and   the impugned judgment and order passed by the learned Single   Judge   confirmed   by   the   Division   Bench permitting   the   respondent   delinquent   officer   to   be represented in the departmental proceedings through ex-¬employee of the Bank is hereby quashed and set aside. Present appeal is accordingly allowed. In the facts and circumstances of the case, there shall be no order as to costs. ",Petitioner
33,"We also do not find any substance in the contentions raised by learned counsel for the appellants-accused vis-a-
vis the evidence of 10 (PW8).

We do not think that the aforesaid judgments are applicable to the case at hand for the reasons we have
assigned above.
 In the result, we do not find any merit in these appeals and we uphold the conviction of the appellants. These
appeals are dismissed accordingly.
 However, Inder Pal Singh (A-1) was granted remission by the Governor of Uttar Pradesh vide order dated
19.11.2013. Vide order dated 07.01.2019 passed by this Court, he was also granted exemption from surrendering.
 By Order dated 16.03.2020, the appellant Ram Pal Singh was granted bail.
 Application from exemption from surrendering on behalf of Surender Pal Singh (A-3) was rejected by this Court
on 07.01.2019.

 We direct the appellant Ram Pal Singh to surrender before the concerned jail authority forthwith to serve the
remainder of the sentence. The bail bond stands cancelled.
 Since, the appellant, Inder Pal Singh (A-1) was granted remission, he need not surrender before the concerned
jail authority and his sentence is reduced to the period already undergone.
 In view of the dismissal of the above appeals, all pending interlocutory applications, if any, stand disposed.",Respondent
34,"In view of the discussion hereinabove, the petition is allowed. The Letters of Administration in respect of the properties of deceased Smt. Pushpawati Katyal as mentioned in Schedule A of properties is granted in favour of the petitioners to administer the same. The letters of administration be issued in the prescribed form VII upon furnishing of the proper Court Fee, administration bond and surety bond by the petitioners. The formalities of issuance of Probate shall be completed by the petitioners/beneficiaries PC No. 5939/2016 CNR No. DLST01?000957?2014 Page 41 of 42 Dinesh Kumar/ADJ?02/South/Saket/ND/19.01.2023 Rajesh Chander Katyal & Anr. Vs. State & Anr. within six months from the date of the judgment as per Section 290 & 291 of Indian Succession Act. The petitioners, as per Section 317 of the Indian Succession Act, shall furnish full and true inventory of the above said property and credits and exhibit the same in the Court within 6 months from the date of grant of letters of administration in prescribed Form No. 178. The petitioners shall also file true account of the said property and credits within 1 year in prescribed Form No. 179. It is made clear that the granting of letters of administration would not tantamount to any declaration of the title of the deceased to the estate in question.",Petitioner
35,"In view of the above, the appeals filed by the assessee (EOU)
against the decision of the Bombay High Court partly succeed in
the above terms; and the appeals filed by the Department against
the decision of the High Court of Delhi and High Court of
Karnataka are also partly allowed in the aforementioned terms.
There shall be no order as to costs.",Ambiguity
36,"Nothing has been observed by the High Court on the merits of the fresh assessment orders. If the fresh assessment orders would have gone against the State, in that case the State would have been the aggrieved party and the State could have raised the objection that pending suo moto revisional proceedings against the order of remand, the Assessing Officer ought not to have proceeded further with the fresh assessments. However, in the present case the fresh assessments have gone against the respective dealers. Therefore, as such the respective dealers were required to prefer the appeals before the First Appellate Authority against the fresh assessment orders. In view of the above, the judgment and orders passed by the High Court quashing and setting aside the fresh assessment orders in the writ petitions under Article 226 of the Constitution of India are unsustainable. In view of the above and for the reasons stated above, all these appeals succeed. The judgment and orders passed by the High Court in Writ Petition No.37515 of 2017; Writ Petition No.37516 of 2017; Writ Petition No.37504 of 2017 and Writ Petition No.37498 of 7 2017 are hereby quashed and set aside. However, there shall be no order as to costs.",Petitioner
37,"In that view of the above the original writ petitioners – charitable   education   institutions   registered   under   the provisions of the Societies Registration Act and/or under the Maharashtra Public Trusts Act, are not entitled to any exemption from levy/payment of the electricity duty on or after   08.08.2016   i.e.   from   the   date   on   which the Maharashtra Electricity Duty Act, 2016 came into effect. Therefore, the High Court has committed a grave error in setting   aside   the   levy   of   electricity   duty   levied   on   the original writ petitioners-respondents No.1 to 10 herein. The impugned judgment and order passed by the High Court is unsustainable both, on law and on facts and the same deserves to be dismissed. In view of the above and for the reasons stated above, the present   Appeal   Succeeds.   The   impugned   judgment   and order dated 28.02.2019 passed by the High Court in W.P. No.2961 of 2018, is hereby quashed and set aside and it is held that the original writ petitioners – respondents No.1 to 10   herein   –   charitable   education   institutions   registered under the Societies Registration Act and the Maharashtra Public Trusts Act, are not exempt from levy/payment of electricity duty levied on the consumption charges or the energy consumed even with respect to the properties used by such charitable education institutions for the purpose of or in respect of the school/college imparting education or training  in   academic   or  technical   subjects. The present Appeal is accordingly allowed. There shall be no order as to costs.",Petitioner
38,"We have, therefore, no hesitation in accepting the challenge raised on behalf of the State and allowing these appeals and setting aside the judgment and order passed by the High Court presently under challenge. The results declared by the Board on 28th February 2019 shall now be given effect as early as possible. It must, however, be observed that the State and the Board had permitted candidates from both the categories i.e. who had secured more than 50% ‘raw marks’ as well as those who had secured more than 50% ‘normalized score’, as detailed in paragraph 5 hereinabove. Such candidates had participated in all the further stages, namely, in physical standard test, physical efficiency test, though some of them from the first category were finally disqualified on the ground that they had secured less than 50% ‘normalized score’. The State may consider making some allowance in favour of such subsequently disqualified candidates either by granting some weightage and/or age relaxation in the next selection.",Petitioner
39,"Loan recall-cum-demand notice dated 22.11.2021 was issued by the plaintiff and sent to the defendant by post. The legal notice and the postal receipt are Annexure A-7 & A-8. The loan transaction happened at Govindpuri Branch which is within the territorial jurisdiction of this court. The suit is within limitation. There is no reason to deny a decree to the plaintiff under Order VIII Rule 10 CPC.  In view of above discussion, the suit is decreed in favour of the plaintiff with cost. Defendant is directed to pay to the plaintiff 7,81,147/- (Seven Lac Eighty One Thousand One Hundred Forty Seven Only) with pendent elite and future interest @ 11.55 % per annum together with the cost of suit.",Petitioner
